Line Number,Latitude,Longitude
1,36.9971487880855,-122.050005981022
2,36.99715,-122.05001
3,36.99723,-122.04994
4,36.99728,-122.04991
5,36.99744,-122.04981
6,36.99746,-122.0498
7,36.9976,-122.04972
8,36.99777,-122.04964
9,36.99782,-122.04961
10,36.99794,-122.04956
11,36.99811,-122.0495
12,36.99828,-122.04944
13,36.99829,-122.04944
14,36.99831,-122.04943
15,36.99846,-122.04937
16,36.99863,-122.0493
17,36.99864,-122.0493
18,36.9988,-122.04923
19,36.99893,-122.04917
20,36.99897,-122.04915
21,36.99907,-122.04909
22,36.99914,-122.04908
23,36.99931,-122.04906
24,36.99932,-122.04906
25,36.99949,-122.04907
26,36.99958,-122.04908
27,36.99967,-122.04907
28,36.99979,-122.04905
29,36.99984,-122.04901
30,36.99985,-122.04901
31,37.00012,-122.04884
32,37.00003,-122.04865
33,37.00001,-122.04862
34,36.99993,-122.04846
35,36.99989,-122.04838
36,36.99982,-122.04829
37,36.99969,-122.04814
38,36.99968,-122.04814
39,36.99957,-122.04808
40,36.99952,-122.0481
41,36.9994,-122.04817
42,36.99935,-122.04819
43,36.99918,-122.04827
44,36.999,-122.04836
45,36.99885,-122.04844
46,36.99869,-122.04853
47,36.99867,-122.04854
48,36.99853,-122.04864
49,36.99848,-122.04867
50,36.99835,-122.04869
51,36.99818,-122.04871
52,36.99796,-122.0485
53,36.99782,-122.04821
54,36.99778,-122.04813
55,36.99777,-122.048
56,36.99776,-122.04783
57,36.99774,-122.04778
58,36.99768,-122.04757
59,36.99764,-122.04745
60,36.99757,-122.04723
61,36.99755,-122.04723
62,36.99746,-122.04727
63,36.99739,-122.04706
64,36.99735,-122.04694
65,36.9973,-122.04688
66,36.99712,-122.04666
67,36.99706,-122.04655
68,36.99702,-122.04648
69,36.997,-122.04637
70,36.99699,-122.04634
71,36.99697,-122.04618
72,36.99697,-122.04612
73,36.99695,-122.04596
74,36.99693,-122.0459
75,36.99686,-122.04569
76,36.99677,-122.04542
77,36.99674,-122.04527
78,36.99669,-122.04506
79,36.99669,-122.04505
80,36.99665,-122.04489
81,36.99665,-122.04483
82,36.99664,-122.04472
83,36.99664,-122.04459
84,36.99665,-122.04436
85,36.99666,-122.0442
86,36.99666,-122.04414
87,36.9967,-122.04347
88,36.99671,-122.04324
89,36.99672,-122.04307
90,36.99673,-122.04302
91,36.99677,-122.0428
92,36.99682,-122.04258
93,36.99685,-122.04234
94,36.9969,-122.04191
95,36.99691,-122.04182
96,36.9969,-122.0418
97,36.99689,-122.04174
98,36.99688,-122.04171
99,36.99684,-122.04159
100,36.99683,-122.04155
101,36.99676,-122.04138
102,36.99676,-122.04137
103,36.99675,-122.04129
104,36.99674,-122.04118
105,36.99675,-122.04116
106,36.99676,-122.04113
107,36.9969,-122.04081
108,36.99694,-122.04058
109,36.99694,-122.04054
110,36.99694,-122.0405
111,36.99693,-122.04042
112,36.9969,-122.04034
113,36.9969,-122.04033
114,36.99684,-122.04021
115,36.99679,-122.04015
116,36.99649,-122.03971
117,36.99642,-122.03965
118,36.99628,-122.03952
119,36.99617,-122.03941
120,36.996,-122.03923
121,36.99588,-122.03905
122,36.99576,-122.03881
123,36.99572,-122.03865
124,36.99565,-122.0385
125,36.99565,-122.03849
126,36.99555,-122.03828
127,36.99548,-122.03817
128,36.99541,-122.03811
129,36.99535,-122.0381
130,36.99527,-122.03812
131,36.99523,-122.03816
132,36.99515,-122.03822
133,36.99509,-122.03822
134,36.99491,-122.03828
135,36.9949,-122.03825
136,36.9949,-122.03824
137,36.99487,-122.03813
138,36.99486,-122.03808
139,36.99485,-122.03802
140,36.99484,-122.03796
141,36.99481,-122.03787
142,36.99471,-122.03765
